# Positron Data Export
# Export Date: 2026-02-02 16:37:34
#
# Scope Model: 3406D
# Serial Number: JZ254/0097
# Sample Rate: 250.00 MS/s
# Voltage Range: 100 mV (all channels)
# Capture Window: 2.996 µs (Pre: 0.996 µs, Post: 2.000 µs)
#
# Trigger Configuration:
#   Condition 1: A
#   Condition 2: B
#   Condition 3: C
#   Condition 4: D
#   Auto-trigger: OFF
#
# Calibration Status:
#   Channel A: Calibrated
#     Gain: 3.583508e-02 keV/(mV·ns)
#     Offset: -14.722541 keV
#     Date: 2026-02-02 10:30
#   Channel B: Calibrated
#     Gain: 3.755677e-02 keV/(mV·ns)
#     Offset: -19.619001 keV
#     Date: 2026-02-02 10:30
#   Channel C: Calibrated
#     Gain: 3.620966e-02 keV/(mV·ns)
#     Offset: -34.953938 keV
#     Date: 2026-02-02 10:29
#   Channel D: Calibrated
#     Gain: 3.946591e-02 keV/(mV·ns)
#     Offset: -21.964536 keV
#     Date: 2026-02-02 10:28
#
# Acquisition Statistics:
#   Total Events: 1,170
#   Elapsed Time: 00:00:09
#   Average Rate: 126.1 events/s
#
A_has_pulse,A_timing_ns,A_energy_kev,B_has_pulse,B_timing_ns,B_energy_kev,C_has_pulse,C_timing_ns,C_energy_kev,D_has_pulse,D_timing_ns,D_energy_kev
FALSE,0.000000,-14.150146,FALSE,0.000000,-19.378623,FALSE,0.000000,-35.890976,TRUE,2.655615,243.197934
FALSE,0.000000,-14.721627,FALSE,0.000000,-20.443224,FALSE,0.000000,-35.198584,TRUE,1.185125,134.422105
FALSE,0.000000,-15.062872,FALSE,0.000000,-19.495962,FALSE,0.000000,-32.663504,TRUE,1.650409,330.945316
TRUE,10.494476,161.681096,FALSE,0.000000,-19.971018,FALSE,0.000000,-34.277240,TRUE,2.845338,509.291476
TRUE,3.667317,229.376136,FALSE,0.000000,-19.376722,FALSE,0.000000,-37.043117,FALSE,0.000000,-20.928649
FALSE,0.000000,-14.720714,FALSE,0.000000,-19.850367,FALSE,0.000000,-38.080321,TRUE,1.610042,135.412783
FALSE,0.000000,-14.493217,FALSE,0.000000,-19.730639,FALSE,0.000000,-35.426612,TRUE,20.000000,242.812693
FALSE,0.000000,-14.834462,TRUE,1.945695,863.389742,FALSE,0.000000,-34.859311,FALSE,0.000000,-20.671055
TRUE,6.948306,983.708867,FALSE,0.000000,-19.498812,FALSE,0.000000,-35.310751,FALSE,0.000000,-22.165500
FALSE,0.000000,-14.607879,FALSE,0.000000,-19.734440,FALSE,0.000000,-34.974249,TRUE,8.000000,126.909339
TRUE,7.141397,190.856551,FALSE,0.000000,-19.141094,FALSE,0.000000,-35.776962,TRUE,3.700115,501.650408
TRUE,2.339984,1239.058308,FALSE,0.000000,-19.495962,FALSE,0.000000,-33.121503,FALSE,0.000000,-23.670970
FALSE,0.000000,-15.176620,TRUE,3.641507,526.225875,TRUE,10.459063,479.142480,FALSE,0.000000,-25.795366
FALSE,0.000000,-14.492304,FALSE,0.000000,-19.971018,FALSE,0.000000,-36.004962,TRUE,2.660949,179.722855
FALSE,0.000000,-14.721627,FALSE,0.000000,-19.971018,FALSE,0.000000,-34.163226,FALSE,0.000000,-2504.952284
TRUE,4.220664,1252.885587,FALSE,0.000000,-19.375772,FALSE,0.000000,-36.694613,FALSE,0.000000,-26.668880
FALSE,0.000000,-14.493217,FALSE,0.000000,-19.375772,FALSE,0.000000,-34.737912,TRUE,0.060015,160.076973
TRUE,3.779612,670.250165,FALSE,0.000000,-19.969118,TRUE,3.381412,208.497037,FALSE,0.000000,-20.402436
FALSE,0.000000,-14.950037,FALSE,0.000000,-20.675051,FALSE,0.000000,-34.626668,TRUE,0.064887,192.126070
FALSE,0.000000,-14.835376,TRUE,1694.864188,358.295869,TRUE,1698.016011,321.475062,FALSE,0.000000,-22.425098
FALSE,0.000000,-14.949124,FALSE,0.000000,-19.374822,TRUE,1.633353,243.655241,FALSE,0.000000,-23.923552
FALSE,0.000000,-14.947296,FALSE,0.000000,-20.323035,TRUE,5.279317,1240.877226,FALSE,0.000000,-22.671666
FALSE,0.000000,-14.719800,TRUE,1339.087859,467.063903,TRUE,6.450864,666.778551,FALSE,0.000000,-24.674282
FALSE,0.000000,-14.378556,FALSE,0.000000,-20.087407,TRUE,14.168581,95.727151,FALSE,0.000000,-20.787824
FALSE,0.000000,-14.262980,TRUE,12.000000,221.110443,FALSE,0.000000,-35.193045,FALSE,0.000000,-18.394808
FALSE,0.000000,-14.720714,FALSE,0.000000,-21.031819,FALSE,0.000000,-36.810473,TRUE,2.211414,475.739440
FALSE,0.000000,-14.948210,TRUE,2.568316,218.033065,FALSE,0.000000,-34.614666,FALSE,0.000000,-22.917232
FALSE,0.000000,-15.062872,FALSE,0.000000,-19.377210,FALSE,0.000000,-36.459200,TRUE,20.000000,209.019033
FALSE,0.000000,-14.721627,FALSE,0.000000,-20.086457,FALSE,0.000000,-35.435844,TRUE,24.899889,107.638042
TRUE,4.713794,499.964501,FALSE,0.000000,-20.918280,FALSE,0.000000,-32.895225,FALSE,0.000000,-27.052263
FALSE,0.000000,-14.379469,FALSE,0.000000,-21.389536,TRUE,3.720954,510.161440,FALSE,0.000000,-21.669356
TRUE,3.498242,247.272576,FALSE,0.000000,-20.087407,FALSE,0.000000,-34.507114,FALSE,0.000000,-18.920019
TRUE,4.947270,705.131334,FALSE,0.000000,-18.781965,FALSE,0.000000,-35.774193,FALSE,0.000000,-21.917929
FALSE,0.000000,-14.836289,FALSE,0.000000,-19.491211,TRUE,6.402818,1243.549930,FALSE,0.000000,-21.913920
TRUE,12.398397,504.865847,FALSE,0.000000,-18.777214,FALSE,0.000000,-34.851926,TRUE,5.159405,492.645430
